Date,BET,FX
2/1/2006,8340.68,3.6142
2/2/2006,8225.77,3.6092
2/3/2006,8282.97,3.6076
2/6/2006,8275.65,3.5962
2/7/2006,8484.3,3.5846
2/8/2006,8334.04,3.5808
2/9/2006,8350.53,3.5428
2/10/2006,8408.9,3.5368
2/13/2006,8372.65,3.5272
2/14/2006,8117.01,3.5325
2/15/2006,8121.19,3.5285
2/16/2006,8232.52,3.5212
2/17/2006,8200.94,3.5084
2/20/2006,8151.26,3.5046
2/21/2006,7956.96,3.496
2/22/2006,8038.88,3.5007
2/23/2006,8015.04,3.5069
2/24/2006,7977.57,3.506
2/27/2006,7994.98,3.4998
2/28/2006,8192.51,3.4726
3/1/2006,8112.82,3.4747
3/2/2006,7855.2,3.4765
3/3/2006,7951.09,3.4805
3/6/2006,7958.05,3.4795
3/7/2006,7899.6,3.4882
3/8/2006,7904.15,3.4969
3/9/2006,7650.82,3.4963
3/10/2006,7557.1,3.5076
3/13/2006,7615.23,3.5117
3/14/2006,7411.24,3.54
3/15/2006,7410.08,3.5196
3/16/2006,7558.82,3.5142
3/17/2006,7467.86,3.5084
3/20/2006,7529.85,3.5077
3/21/2006,7612.45,3.5132
3/22/2006,7621.84,3.5276
3/23/2006,7576.48,3.509
3/24/2006,7613.47,3.5104
3/27/2006,7671.36,3.5064
3/28/2006,7656.4,3.523
3/29/2006,7586.96,3.5282
3/30/2006,7509.74,3.5183
3/31/2006,7499.25,3.5225
4/3/2006,7511.45,3.5134
4/4/2006,7380.91,3.5185
4/5/2006,7313.2,3.5198
4/6/2006,7175.83,3.5145
4/7/2006,7316.71,3.5068
4/10/2006,7421.3,3.4997
4/11/2006,7588.36,3.4935
4/12/2006,7572.71,3.4872
4/13/2006,7440.68,3.4935
4/17/2006,7507.75,3.492
4/18/2006,7495.4,3.4833
4/19/2006,7444.05,3.4818
4/20/2006,7444.65,3.4814
4/21/2006,7461.69,3.4636
4/25/2006,7493.44,3.4578
4/26/2006,7495.51,3.475
4/27/2006,7491.53,3.4761
4/28/2006,7550.88,3.4783
5/2/2006,7506.52,3.4788
5/3/2006,7437.84,3.466
5/4/2006,7373.88,3.4674
5/5/2006,7402.93,3.4678
5/8/2006,7454.54,3.4645
5/9/2006,7368.31,3.4658
5/10/2006,7369.71,3.4648
5/11/2006,7395.47,3.4646
5/12/2006,7430.5,3.4872
5/15/2006,7305,3.5559
5/16/2006,7235.76,3.5131
5/17/2006,7271.66,3.5126
5/18/2006,7144.78,3.5367
5/19/2006,7148.5,3.526
5/22/2006,6990.41,3.5553
5/23/2006,6615.25,3.5445
5/24/2006,6814.34,3.5552
5/25/2006,6865.22,3.542
5/26/2006,7184.57,3.5162
5/29/2006,7143.98,3.518
5/30/2006,7029.64,3.5282
5/31/2006,7058.94,3.5358
6/1/2006,6981.01,3.5287
6/2/2006,7101.91,3.514
6/5/2006,7078.23,3.5242
6/6/2006,7073.66,3.5209
6/7/2006,7024.99,3.5156
6/8/2006,6919.12,3.5185
6/9/2006,6877.08,3.5155
6/12/2006,6725.21,3.5264
6/13/2006,6721.84,3.5365
6/14/2006,6679.73,3.525
6/15/2006,6599.02,3.5255
6/16/2006,6632.76,3.5228
6/19/2006,6726.36,3.5271
6/20/2006,6691.82,3.5243
6/21/2006,6652.01,3.5902
6/22/2006,6630.4,3.5899
6/23/2006,6685.85,3.6424
6/26/2006,6552.03,3.6183
6/27/2006,6437.93,3.5977
6/28/2006,6603.87,3.5842
6/29/2006,6801.09,3.5861
6/30/2006,7056.23,3.5815
7/3/2006,7243.39,3.5655
7/4/2006,7434.13,3.5593
7/5/2006,7286.41,3.5804
7/6/2006,7401.2,3.5917
7/7/2006,7552.57,3.5828
7/10/2006,7534.34,3.5873
7/11/2006,7464.37,3.5645
7/12/2006,7500.13,3.5734
7/13/2006,7481.24,3.586
7/14/2006,7335.13,3.5937
7/17/2006,7491.92,3.5977
7/18/2006,7653.91,3.5843
7/19/2006,7501.64,3.591
7/20/2006,7557.43,3.5669
7/21/2006,7490.98,3.5777
7/24/2006,7517.79,3.5612
7/25/2006,7627.4,3.5468
7/26/2006,7627.4,3.5422
7/27/2006,7766.99,3.5476
7/28/2006,7772.24,3.5471
7/31/2006,7701.87,3.5444
8/1/2006,7668.38,3.5488
8/2/2006,7626.4,3.5384
8/3/2006,7610.32,3.5345
8/4/2006,7590.15,3.519
8/7/2006,7533.96,3.5144
8/8/2006,7633.85,3.5205
8/9/2006,7787.89,3.5134
8/10/2006,7856.37,3.5166
8/11/2006,7783.54,3.5242
8/14/2006,7800.04,3.5325
8/16/2006,7840.4,3.5217
8/17/2006,7774.82,3.5195
8/18/2006,7755.78,3.5258
8/21/2006,7746.27,3.5269
8/22/2006,7731.43,3.5275
8/23/2006,7667.47,3.5296
8/24/2006,7638.67,3.5326
8/25/2006,7639.55,3.5269
8/28/2006,7598.11,3.515
8/29/2006,7598.11,3.5275
8/30/2006,7701.13,3.5342
8/31/2006,7684.61,3.5291
9/1/2006,7672.37,3.5268
9/4/2006,7703.33,3.5267
9/5/2006,7711.24,3.5257
9/6/2006,7651.58,3.5205
9/7/2006,7652.15,3.5234
9/8/2006,7719.21,3.5207
9/11/2006,7678.86,3.5143
9/12/2006,7650.09,3.5153
9/13/2006,7647.71,3.5025
9/14/2006,7630.62,3.5027
9/15/2006,7805.18,3.4976
9/18/2006,7715.68,3.5236
9/19/2006,7825.33,3.5306
9/20/2006,7839.78,3.5317
9/21/2006,7830.04,3.5287
9/22/2006,7803.12,3.5616
9/25/2006,7876.65,3.5489
9/26/2006,7861.16,3.5403
9/27/2006,7859.07,3.5389
9/28/2006,7927.88,3.5413
9/29/2006,7952.84,3.5371
10/2/2006,8111.59,3.537
10/3/2006,8251.23,3.5306
10/4/2006,8416.25,3.536
